textID,text,selected_text,sentiment
046fda6a5c,Cleaning the house,Cleaning the house,0
0c4d2b0cab,still needs another 6 hours of sleep,still needs another 6 hours of sleep,0
04f7a0b0f0,"Over-thought tying my shoe, couldn`t figure it out for a while",Over-thought,-1
e3600f20f1,wants to greet all the mom`s out there a Happy Mothers Day!!! May you enjoy your day!!,Happy,1
afe06bd420,"I forwarded an email about a cool science event in Canberra, and a friend thought it was in Sydney and trekked out to the wrong place",trekked out to the wrong place,-1
80e48ff9b3,Never made it to the gym so will be doing my blowout sans thong wearing company. Phew! But bummer on missing workout,bummer,-1
adb9a99727,"is starting her pre europe diet today  goodbye midnight snacks, goodbye iced tea, hello momol. HAHAHAHAHA! http://plurk.com/p/rplpr","is starting her pre europe diet today  goodbye midnight snacks, goodbye iced tea, hello momol. HAHAHAHAHA! http://plurk.com/p/rplpr",0
a15bd06ed8,You know you`re too old to party like a rockstar when....you realize no one else claps when they dance. It`s just you,You know you`re too old to party like a rockstar when....you realize no one else claps when they dance. It`s just you,0
14541f09b6,Morning everyone!!!,Morning everyone!!!,0
5e1b9b01fa," lady in the water is pure bs, but i remember enjoying his other films.","lady in the water is pure bs, but i remember enjoying his other films.",0
61db7151b4, cant believe tila tequila was in ct and i didnt know... so upset,so upset,-1
54b76f0770,": Oh. The voting is over!  But don`t worry, I already voted for you about 100000000000000000000000000000000000 times earlier!!!",": Oh. The voting is over!  But don`t worry, I already voted for you about 100000000000000000000000000000000000 times earlier!!!",1
cfb49dff56, no i mean 2moz. I`m workin` 7-1 in a bakers then 6-4 later in a pub,no i mean 2moz. I`m workin` 7-1 in a bakers then 6-4 later in a pub,0
70021c0ca4," you seem desperate,that says probly enough","desperate,t",-1
62f3f47fbe,shiiiiiiiiiiiiiiiiiiiiiiiiiiiiiit advanced databases in 8 hours and 13 minutes  fail,shiiiiiiiiiiiiiiiiiiiiiiiiiiiiiit,-1
6adf265914, wish  was coming too  I guess we can make time for you though if we have to ;),wish,1
e4fd99e835,"**** fight night 4 demo won`t load, keeps crashing at the first screen. time to delete and re download i think","**** fight night 4 demo won`t load, keeps crashing at the first screen. time to delete and re download i think",0
9acded8f61," That`s great Bastos!  I`m happy for you. You gonna do the mabaho leg, to celebrate? haha",That`s great Bastos!  I`m happy for you,1
68f79be259, Right here! Army Wife in Germany! I can`t STAND that I cannot be there this summer!,! I can`t STAND that I cannot be there this summer!,-1
3611a1df25,I don`t want to quit my job.,I don`t want to quit my job.,0
