textID,text,selected_text,sentiment
7472aac15d,Oowweee!!! China club wuz poppin!!! Lipstic n Pumps were in full effect!,Oowweee!!! China club wuz poppin!!! Lipstic n Pumps were in full effect!,1
71da70bbde, I am 100% jealous.  wish I had some,I am 100% jealous.  wish I had some,0
13259c1890, - we wouldn`t miss it for the world!  ICCVB meetings  Mon-Wed....  the fun is just beginning,the,1
2016956551, http://twitpic.com/45r61 -  saddest thing i`ve seen a while,saddest,-1
3b17765aeb," and if you want to leaveeeee I can guranteee, you won`t find nobody, else like meeee","you won`t find nobody,",-1
3c8698c64b, yup,yup,0
264d6e1837,is moving out of Nesbitt.,is moving out of Nesbitt.,0
7c1f28b126,  yer it is...poor little ****  but she well doesnt deserve the stick off everyone! cowell once again going against producer,ll doesnt deserv,-1
19fa9c9eb4,_whacker skypeeeeee,_whacker skypeeeeee,0
4bce2313f4,I just woke up. My teeth really hurt from my rubber bands,really hurt,-1
dbe30a5f44,Just had a horrible experience with a dentist.  Had a crown made that doesn`t fit right and they won`t fix it or give back the money.,horrible experience,-1
2176edad3e,"needs water, paper towels and coke from the store but feels too sick to go get it",feels too sick,-1
3029e00aac," sorry bout 2day  bloody typical,goin 4 a laydown now feel sick again,ooo this not nice x",sorry bout 2day,-1
d760167832,_another_1 yeh I can`t even imagine.... good luck to them,good luck to them,1
9955130b68,"Its prob cuz I don`t really like sleeping in late, even if I tried.","Its prob cuz I don`t really like sleeping in late, even if I tried.",-1
b65c7688ce,thursday night was amazing taylor swift gave me one of her braclets,thursday night was amazing ta,1
6687098e68,Good morning guys!  Dont forget: Today is mothers day! Mommy? I LOVE YOU ! Youï¿½re the best <3,? I LOVE YOU,1
5715e8a9ae,Happy Mothers day to all the grown n happy & the lil prego smuts lol Just Playing everyone is loved.. happy Mothers Day & God Bless,Happy Mothers day to all the grown n happy & the lil prego smuts lol Just Playing everyone is loved.. happy Mothers Day & God Bless,1
db1f140a80,at home and sick    http://yfrog.com/17zw1j,sick,-1
82171252c0,Last day of college today!,Last day of college today!,0
77ca05c1b8,i have to go to the doctor... i don`t want to... cause there i can wait sooo long...,i have to go to the doctor... i don`t want to... cause there i can wait sooo long...,0
324e72dddb, Awww thats not fair to me. Now im a lil sad,Now im a lil sad,-1
b4774eef40, Thanks amigo!,Thanks amigo!,1
0b04011bfb, can`t believe i wasn`t following you! am now  have an anatomy prac tmw so tonight i`m all about structr of the lwr limb,can`t believe i wasn`t following you!,-1
826660a368,so this my last week of school then finals yesss,so this my last week of school then finals yesss,0
7af2c970ab,"_L_S How was the game? Unfortunately, teh Cavs lost  I`m sure you had fun though","How was the game? Unfortunately, teh Cavs lost  I`m sure you had fun though",0
3e44fbf1fd,Such a beautiful morning,beautiful,1
5d9dcd45b8,justin timberlake + snl = awesome ... dude should just become a regular,awesome,1
7ba2bb1561, they already are in my books,they already are in my books,0
3b370504d8,  I`m bummed to miss you.   Hope you enjoy your writing conf. tho!,o miss,-1
3f3c87afb8,Oww. Can`t even describe how much my back hurts. Going to have to go to the stupid doctor.,stupid,-1
a9b3ae6123,"has the urge to go shopping.hmmm but i`ve got no money,how?","but i`ve got no money,h",-1
76766fd7f8, Hey Mary! This Is My Twitter  (Karishmaa1) Luvv Youu ?,) Luvv Youu,1
718f5c214a,Gotta go to the doctor this morning  i feel so sick right now. i can barely talk but i`m still yelling across the house lol,sick,-1
bf3c8e5503,"Yay, I won at the  Bags #Giveaway from . And those bags are so pretty!! Or maybe I`ll have a belt? We`ll see!",won,1
e9e6139dfd, HaHa i Forgot...It`ll Probably Be On Youtube...So I`ll Watch It Later,HaHa i Forgot...It`ll Probably Be On Youtube...So I`ll Watch It Later,0
4e59acf15c," lol, don`t rub it in","lol, don`t rub it in",0
cc26205f91, We`ve never heard anyone say they like doing ANYTHING on Monday mornings! You must have had an early cup of coffee or two,We`ve never heard anyone say they like doing ANYTHING on Monday mornings! You must have had an early cup of coffee or two,0
3bf1999f2f,Trully a awful day! ****!,awful,-1
e3bffa84b1,not having a good day..one bad thing after another,not having a good day..one bad thing after another,-1
2187da4101,Eli in the ER  they pricked his finger for blood sugar and he was trying not to cry http://twitpic.com/67z2q,he was trying not to cry,-1
8a6f37f7a4," No this is not redirects, this is just updating posts on our website massage.dk .. next item => publish, next item => pulish","No this is not redirects, this is just updating posts on our website massage.dk .. next item => publish, next item => pulish",0
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,0
1ea1879617," wooooo the tour has started yay, 13 days  have an awesome time! loved the video xD",have an awesome time!,1
07d9362105,I`m either always on the train or at work,I`m either always on the train or at work,0
85c482fcbf,i believe only my black personality can explain how i feel... that boyfrann of mines gots me sprung,i believe only my black personality can explain how i feel... that boyfrann of mines gots me sprung,0
603045ab40, `s mum asked us to thank you for introducing us to Kenny`s - we`re having Mother`s Day dinner here,thank,1
0cf61b6c7a,  EEW  Cheese. I hate cheese.,I hat,-1
1c943682ec,With my jordie for a little bit,With my jordie for a little bit,0
f702a8f65f,"Hell, my iTunes music library is even bipolar!",iTunes music library is even bipolar!,-1
2593a33505,wikileaks geht wieder  super #wikileaks #online,super,1
